Issue Time,Valid From,Valid To,Warning Colour,Warning Element,Warning Text,Clare,Cork,Kerry,Limerick,Tipperary,Waterford,Carlow,Dublin,Kildare,Kilkenny,Laois,Longford,Louth,Meath,Offaly,Westmeath,Wexford,Wicklow,Cavan,Donegal,Monaghan,Galway,Leitrim,Mayo,Roscommon,Sligo,warning_phenomenon,warning_severity,weather_type,Duration_hours,date,region,counties_in_region,weather_event_density,county_weight,affected_counties_count,affected_counties_proportion
2024-01-21 09:06:00+00:00,2024-01-21 17:00:00+00:00,2024-01-21 21:00:00+00:00,Red,Wind,"Storm Isha will bring extremely strong and gusty southwest winds with severe and destructive gusts, particularly in coastal and exposed areas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,4.0,2024-01-21,HSE Dublin and Midlands,7,1,0.14285714285714285,0,0.0
2024-01-21 09:06:00+00:00,2024-01-21 17:00:00+00:00,2024-01-21 21:00:00+00:00,Red,Wind,"Storm Isha will bring extremely strong and gusty southwest winds with severe and destructive gusts, particularly in coastal and exposed areas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,4.0,2024-01-21,HSE Dublin and North East,5,1,0.2,0,0.0
2024-12-06 09:49:00+00:00,2024-12-06 22:00:00+00:00,2024-12-07 03:00:00+00:00,Red,Wind,Storm Darragh: Extremely strong and gusty northwest winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,5.0,2024-12-06,HSE Dublin and Midlands,7,1,0.14285714285714285,0,0.0
2024-12-06 13:41:00+00:00,2024-12-07 01:00:00+00:00,2024-12-07 06:00:00+00:00,Red,Wind,Storm Darragh: Extremely strong and gusty northwest winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,5.0,2024-12-07,HSE West and North West,6,1,0.16666666666666666,0,0.0
2024-12-06 13:41:00+00:00,2024-12-07 01:00:00+00:00,2024-12-07 06:00:00+00:00,Red,Wind,Storm Darragh: Extremely strong and gusty northwest winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,5.0,2024-12-07,HSE South West,2,1,0.5,0,0.0
2024-12-06 13:41:00+00:00,2024-12-07 01:00:00+00:00,2024-12-07 06:00:00+00:00,Red,Wind,Storm Darragh: Extremely strong and gusty northwest winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,5.0,2024-12-07,HSE Mid West,3,1,0.3333333333333333,0,0.0
2024-12-06 13:41:00+00:00,2024-12-07 01:00:00+00:00,2024-12-07 06:00:00+00:00,Red,Wind,Storm Darragh: Extremely strong and gusty northwest winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,5.0,2024-12-07,HSE Dublin and South East,7,1,0.14285714285714285,0,0.0
2024-12-06 13:41:00+00:00,2024-12-07 01:00:00+00:00,2024-12-07 06:00:00+00:00,Red,Wind,Storm Darragh: Extremely strong and gusty northwest winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,5.0,2024-12-07,HSE Dublin and Midlands,7,1,0.14285714285714285,0,0.0
2024-12-06 13:41:00+00:00,2024-12-07 01:00:00+00:00,2024-12-07 06:00:00+00:00,Red,Wind,Storm Darragh: Extremely strong and gusty northwest winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Red,Wind warning,5.0,2024-12-07,HSE Dublin and North East,5,1,0.2,0,0.0
2024-10-04 11:01:00+00:00,2024-10-05 12:00:00+00:00,2024-10-06 00:00:00+00:00,Orange,Rainfall,"Very heavy and persistent rain, with highest accumulations in mountainous areasImpacts:• River and coastal flooding• Dangerous travelling conditions• Travel disruption",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfall,Orange,Rainfall warning,12.0,2024-10-05,HSE Dublin and Midlands,7,1,0.14285714285714285,0,0.0
